======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/combat/combat_action_block.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 3992428140
  Layout Hash ........... 1318305025
  Table Version ......... 30
  Line Count ............ 222
  String Data Size ...... 7333
  Unique String Count ... 134
  File Size ............. 78401
  Calculated Line Size .. 320 (rem. 0)
String Table:
  [0] CombatBlockGen
  [1] l_halberd+r_halberd+player+sZ5+rightGuard+eZ5+dZ5+oppMale
  [2] NPC
  [3] l_halberd+r_halberd+player+sZ1+rightGuard+eZ1+dZ1+oppMale
  [4] l_halberd+r_halberd+player+sZ2+leftGuard+eZ2+dZ2+oppMale
  [5] l_halberd+r_halberd+sZ1+rightGuard+eZ1+dZ1+oppMale
  [6] l_halberd+r_halberd+sZ5+rightGuard+eZ1+dZ1+oppMale
  [7] l_halberd+r_halberd+sZ1+rightGuard+eZ2+dZ2+oppMale
  [8] l_halberd+r_halberd+sZ2+leftGuard+eZ2+dZ0+oppMale
  [9] l_halberd+r_halberd+sZ2+leftGuard+eZ2+dZ2+oppMale
  [10] l_halberd+r_halberd+sZ5+rightGuard+eZ2+dZ0+oppMale
  [11] l_halberd+r_halberd+sZ2+leftGuard+eZ1+dZ1+oppMale
  [12] l_halberd+r_halberd+sZ1+rightGuard+eZ2+dZ0+oppMale
  [13] l_halberd+r_halberd+sZ5+rightGuard+eZ2+dZ2+oppMale
  [14] l_halberd+r_halberd+sZ5+rightGuard+eZ5+dZ5+oppMale
  [15] l_halberd+r_halberd+sZ1+rightGuard+eZ5+dZ5+oppMale
  [16] l_halberd+r_halberd+sZ2+leftGuard+eZ5+dZ5+oppMale
  [17] l_longsword+r_longsword+player+sZ1+rightGuard+eZ1+dZ1+oppMale
  [18] l_longsword+r_longsword+player+sZ0+leftGuard+eZ0+dZ0+oppMale
  [19] l_longsword+r_longsword+player+sZ5+rightGuard+eZ5+dZ5+oppMale
  [20] l_longsword+r_longsword+player+sZ2+leftGuard+eZ2+dZ2+oppMale
  [21] l_longsword+r_longsword+sZ1+rightGuard+eZ1+dZ1+oppMale
  [22] l_longsword+r_longsword+sZ5+rightGuard+eZ1+dZ1+oppMale
  [23] l_longsword+r_longsword+sZ0+leftGuard+eZ0+dZ0+oppMale
  [24] l_longsword+r_longsword+sZ0+leftGuard+eZ5+dZ5+oppMale
  [25] l_longsword+r_longsword+sZ5+rightGuard+eZ2+dZ2+oppMale
  [26] l_longsword+r_longsword+sZ1+rightGuard+eZ2+dZ2+oppMale
  [27] l_longsword+r_longsword+sZ2+leftGuard+eZ2+dZ2+oppMale
  [28] l_longsword+r_longsword+sZ2+leftGuard+eZ0+dZ0+oppMale
  [29] l_longsword+r_longsword+sZ1+rightGuard+eZ5+dZ5+oppMale
  [30] l_longsword+r_longsword+sZ5+rightGuard+eZ0+dZ0+oppMale
  [31] l_longsword+r_longsword+sZ2+leftGuard+eZ5+dZ5+oppMale
  [32] l_longsword+r_longsword+sZ2+leftGuard+eZ1+dZ1+oppMale
  [33] l_longsword+r_longsword+sZ0+leftGuard+eZ1+dZ1+oppMale
  [34] l_longsword+r_longsword+sZ1+rightGuard+eZ0+dZ0+oppMale
  [35] l_longsword+r_longsword+sZ5+rightGuard+eZ5+dZ5+oppMale
  [36] l_longsword+r_longsword+sZ0+leftGuard+eZ2+dZ2+oppMale
  [37] r_noweapon+or_noweapon+sZ5+rightGuard+eZ5+oppKick+dZ5+l_noShield+ol_noShield+oppMale
  [38] r_noweapon+or_noweapon+sZ2+leftGuard+eZ5+oppKick+dZ5+l_noShield+ol_noShield+oppMale
  [39] r_noweapon+or_noweapon+sZ1+rightGuard+eZ5+oppKick+dZ5+l_noShield+ol_noShield+oppMale
  [40] l_shield+player+sZ1+rightGuard+eZ1+dZ1+r_swords+oppMale
  [41] l_shield+player+sZ5+rightGuard+eZ5+dZ5+r_swords+oppMale
  [42] r_noweapon+player+sZ1+rightGuard+eZ1+dZ1+l_noShield+oppMale
  [43] r_noweapon+sZ2+leftGuard+eZ5+oppStab+dZ5+l_noShield+oppMale
  [44] l_shield+player+sZ2+leftGuard+eZ2+dZ2+r_swords+oppMale
  [45] player+sZ0+leftGuard+eZ0+dZ0+r_bluntWeapon+l_noShield+oppMale
  [46] player+sZ2+leftGuard+eZ2+dZ2+r_shortSwords+l_noShield+oppMale
