======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\combat\combat_action_dodge.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2291335242
  Layout Hash ........... 1579387732
  Table Version ......... 30
  Line Count ............ 96
  String Data Size ...... 6447
  Unique String Count ... 98
  File Size ............. 24139
  Calculated Line Size .. 184 (rem. 0)
String Table:
  [0] CombatDodgeGen
  [1] l_halberd+r_halberd+sZ2+leftGuard+eZ2+move_right+oppDog+oppMale
  [2] Dog,NPC
  [3] l_halberd+r_halberd+sZ1+rightGuard+eZ1+move_left+oppDog+oppMale
  [4] l_halberd+r_halberd+sZ1+rightGuard+eZ1+move_right+oppDog+oppMale
  [5] l_halberd+r_halberd+sZ1+rightGuard+eZ1+move_forward+oppDog+oppMale
  [6] l_halberd+r_halberd+sZ2+leftGuard+eZ2+move_forward+oppDog+oppMale
  [7] l_halberd+r_halberd+sZ2+leftGuard+eZ2+move_left+oppDog+oppMale
  [8] l_halberd+r_halberd+sZ5+rightGuard+eZ5+move_back+oppDog+oppMale
  [9] l_halberd+r_halberd+sZ5+rightGuard+eZ5+move_right+oppDog+oppMale
  [10] l_halberd+r_halberd+sZ5+rightGuard+eZ5+move_left+oppDog+oppMale
  [11] l_halberd+r_halberd+sZ1+rightGuard+eZ1+move_back+oppDog+oppMale
  [12] l_halberd+r_halberd+sZ2+leftGuard+eZ2+move_back+oppDog+oppMale
  [13] l_halberd+r_halberd+sZ5+rightGuard+eZ5+move_forward+oppDog+oppMale
  [14] l_longsword+r_longsword+sZ0+leftGuard+eZ0+move_back+oppDog+oppMale
  [15] l_longsword+r_longsword+sZ2+leftGuard+eZ2+move_left+oppDog+oppMale
  [16] l_longsword+r_longsword+sZ2+leftGuard+eZ2+move_right+oppDog+oppMale
  [17] l_longsword+r_longsword+sZ1+rightGuard+eZ1+move_forward+oppDog+oppMale
  [18] l_longsword+r_longsword+sZ5+rightGuard+eZ5+move_right+oppDog+oppMale
  [19] l_longsword+r_longsword+sZ1+rightGuard+eZ1+move_back+oppDog+oppMale
  [20] l_longsword+r_longsword+sZ2+leftGuard+eZ2+move_back+oppDog+oppMale
  [21] l_longsword+r_longsword+sZ2+leftGuard+eZ2+move_forward+oppDog+oppMale
  [22] l_longsword+r_longsword+sZ5+rightGuard+eZ5+move_left+oppDog+oppMale
  [23] l_longsword+r_longsword+sZ0+leftGuard+eZ0+move_right+oppDog+oppMale
  [24] l_longsword+r_longsword+sZ5+rightGuard+eZ5+move_back+oppDog+oppMale
  [25] l_longsword+r_longsword+sZ1+rightGuard+eZ1+move_left+oppDog+oppMale
  [26] l_longsword+r_longsword+sZ0+leftGuard+eZ0+move_forward+oppDog+oppMale
  [27] l_longsword+r_longsword+sZ1+rightGuard+eZ1+move_right+oppDog+oppMale
  [28] l_longsword+r_longsword+sZ0+leftGuard+eZ0+move_left+oppDog+oppMale
  [29] l_longsword+r_longsword+sZ5+rightGuard+eZ5+move_forward+oppDog+oppMale
  [30] r_noweapon+sZ5+rightGuard+eZ5+move_right+l_noShield+oppDog+oppMale
  [31] l_shield+sZ2+leftGuard+eZ2+move_left+r_bluntWeapon+oppDog+oppMale
  [32] l_shield+sZ5+rightGuard+eZ5+move_right+r_swords+oppDog+oppMale
  [33] sZ1+rightGuard+eZ1+move_left+r_shortSwords+l_noShield+oppDog+oppMale
  [34] sZ0+leftGuard+eZ0+move_right+r_shortSwords+l_noShield+oppDog+oppMale
  [35] l_shield+sZ2+leftGuard+eZ2+move_forward+r_swords+oppDog+oppMale
  [36] r_noweapon+sZ5+rightGuard+eZ5+move_forward+l_noShield+oppDog+oppMale
  [37] l_shield+sZ0+leftGuard+eZ0+move_forward+r_swords+oppDog+oppMale
  [38] sZ2+leftGuard+eZ2+move_right+r_shortSwords+l_noShield+oppDog+oppMale
  [39] l_shield+sZ1+rightGuard+eZ1+move_right+r_bluntWeapon+oppDog+oppMale
  [40] r_noweapon+sZ1+rightGuard+eZ1+move_forward+l_noShield+oppDog+oppMale
  [41] sZ1+rightGuard+eZ1+move_right+r_bluntWeapon+l_noShield+oppDog+oppMale
  [42] r_noweapon+sZ1+rightGuard+eZ1+move_back+l_noShield+oppDog+oppMale
  [43] l_shield+sZ1+rightGuard+eZ1+move_forward+r_swords+oppDog+oppMale
  [44] l_shield+sZ2+leftGuard+eZ2+move_back+r_swords+oppDog+oppMale
