======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/combat/combat_action_sync_perfect_block_hit.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 1243440746
  Layout Hash ........... 2373494764
  Table Version ......... 30
  Line Count ............ 214
  String Data Size ...... 19954
  Unique String Count ... 218
  File Size ............. 88462
  Calculated Line Size .. 320 (rem. 0)
String Table:
  [0] CombatBlockPerfectHitSyncGen
  [1] ol_halberd+or_halberd+eZ2+oppLeftGuard+oppDZ0+oppMale
  [2] NPC
  [3] ol_halberd+or_halberd+eZ1+oppRightGuard+oppDZ0+oppMale
  [4] eZ1+oppRightGuard+oppDZ0+oppMale
  [5] eZ2+oppLeftGuard+oppDZ0+oppMale
  [6] l_longsword+r_longsword+ol_halberd+or_halberd+clinch1+eZ2+oppDZ2+step0+oppMale
  [7] l_longsword+r_longsword+ol_halberd+or_halberd+clinch2+eZ1+oppDZ1+step0+oppMale
  [8] l_longsword+r_longsword+clinch2+eZ2+oppDZ0+step0+oppMale
  [9] l_longsword+r_longsword+clinch1+eZ2+oppDZ2+step1+oppMale
  [10] l_longsword+r_longsword+clinch2+eZ2+oppDZ1+step1+oppMale
  [11] l_longsword+r_longsword+clinch1+eZ2+oppDZ0+step0+oppMale
  [12] stealthStand+eZ2+EndCombatMode+oppDZ2+oppMale+virtualDagger
  [13] stealthStand+eZ1+endStealthGrab+oppDZ1+oppMale+virtualDagger
  [14] r_noweapon+or_noweapon+clinch+eZ0+endClinch1+l_noShield+ol_noShield+oppDZ2+step0+oppMale
  [15] r_noweapon+or_noweapon+clinch+eZ0+endClinch2+l_noShield+ol_noShield+oppDZ1+step0+oppMale
  [16] l_shield+ol_halberd+or_halberd+clinch1+eZ2+r_swords+oppDZ2+step0+oppMale
  [17] l_shield+ol_halberd+or_halberd+clinch1+eZ2+r_bluntWeapon+oppDZ2+step0+oppMale
  [18] ol_halberd+or_halberd+clinch1+eZ2+r_bluntWeapon+l_noShield+oppDZ2+step0+oppMale
  [19] r_noweapon+or_noweapon+clinch1+eZ2+l_noShield+ol_noShield+oppDZ0+step0+oppMale
  [20] ol_halberd+or_halberd+clinch2+eZ1+r_shortSwords+l_noShield+oppDZ1+step0+oppMale
  [21] r_noweapon+or_noweapon+clinch+eZ2+l_noShield+ol_noShield+oppDZ1+step1+oppMale
  [22] l_torch+ol_halberd+or_halberd+clinch1+eZ2+r_swords+oppDZ2+step0+oppMale
  [23] l_torch+ol_halberd+or_halberd+clinch1+eZ2+r_bluntWeapon+oppDZ2+step0+oppMale
  [24] r_noweapon+or_noweapon+clinch2+eZ2+l_noShield+ol_noShield+oppDZ0+step0+oppMale
  [25] ol_halberd+or_halberd+clinch1+eZ2+r_shortSwords+l_noShield+oppDZ2+step0+oppMale
  [26] l_torch+clinch1+eZ0+endClinch1+r_stickWeapon+oppDZ2+step0+oppMale
  [27] l_shield+clinch1+eZ0+endClinch1+r_stickWeapon+oppDZ2+step0+oppMale
  [28] clinch1+eZ0+endClinch1+r_stickWeapon+l_noShield+oppDZ2+step0+oppMale
  [29] r_noweapon+or_noweapon+clinch+eZ2+l_noShield+ol_noShield+oppDZ5+oppMale
  [30] clinch2+eZ0+endClinch2+r_swords+l_noShield+oppDZ1+step0+oppMale
  [31] l_torch+clinch1+eZ2+r_bluntWeapon+oppDZ2+step1+oppMale
  [32] l_shield+clinch2+eZ2+r_bluntWeapon+oppDZ0+step0+oppMale
  [33] l_shield+clinch1+eZ2+r_swords+oppDZ0+step0+oppMale
  [34] clinch2+eZ2+r_bluntWeapon+l_noShield+oppDZ0+step0+oppMale
  [35] clinch2+eZ2+r_shortSwords+l_noShield+oppDZ0+step0+oppMale
  [36] l_torch+clinch1+eZ2+r_swords+oppDZ2+step1+oppMale
  [37] l_shield+clinch2+eZ2+r_swords+oppDZ0+step0+oppMale
  [38] clinch1+eZ2+r_shortSwords+l_noShield+oppDZ0+step0+oppMale
  [39] l_torch+clinch2+eZ2+r_swords+oppDZ0+step0+oppMale
  [40] clinch1+eZ2+r_shortSwords+l_noShield+oppDZ2+step1+oppMale
  [41] l_shield+clinch1+eZ2+r_bluntWeapon+oppDZ0+step0+oppMale
  [42] clinch1+eZ2+r_bluntWeapon+l_noShield+oppDZ0+step0+oppMale
  [43] l_shield+clinch1+eZ2+r_swords+oppDZ2+step1+oppMale
