Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m01,6,8,3,25,0.5,10.4,2938,c21df618-bf34-4532-9ee2-06e32914d732
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m02,6,8,3,25,0.5,10.4,2938,23f1afa6-51b3-4053-81d3-e1b64460a8c8
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m03,6,8,3,25,0.5,10.4,2938,013be77f-e0e9-44d4-af3a-8888ebc0d6fd
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m04,6,8,3,25,0.5,10.4,2938,0a768dfe-859f-4db8-9ce1-18ad29b9206c
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m05,6,8,3,25,0.5,10.4,2938,ca590f8c-5c65-4a56-ab70-acf8f6a2426f
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m06,6,8,3,25,0.5,10.4,2938,59015337-0b25-458c-80dd-b35af648a599
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m07,6,8,3,25,0.5,10.4,2938,15bcd913-3ce3-4ab7-82c5-16a9ee61c286
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_m08,6,8,3,25,0.5,10.4,2938,72b01b0c-fae2-4f5d-9bac-4ec905586767
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_mLeipa,6,8,3,25,0.5,10.4,2938,2e062fed-74d0-4c00-b566-56a64be719cc
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_mLeipa01,6,8,3,25,0.5,10.4,2938,b65ceba3-a532-45be-8d82-dc6a202f98dc
Basic Caparisons,ui_nm_caparison_pros,Caparison01_mPros,6,8,4,16,0.5,1.7,269,36694031-e85d-4547-8054-5e67b51aa8fe
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_mRuhard,6,8,3,25,0.5,10.4,2938,fd4b04c1-6400-449d-8471-75980518cace
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_mRuhard02,6,8,3,25,0.5,10.4,2938,95d5e043-2bba-43dc-8897-4ea8c64ae68a
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_mSemin,6,8,3,25,0.5,10.4,2938,e6c56923-4062-451c-8a83-39aa76977b00
Basic Caparisons,ui_nm_caparison01_m01,Caparison01_mSemin02,6,8,3,25,0.5,10.4,2938,f1657cbd-97f4-45f3-948b-68ec3962027e
Basic Caparisons,ui_nm_caparison02_m01,Caparison02_m01,3,5,3,10,0.3,8.0,2000,e3d5498a-4869-476d-9edd-8561df9f2931
Basic Caparisons,ui_nm_caparison02_m01,Caparison02_m02,3,5,3,10,0.3,8.0,2000,f0dc849e-2439-40d7-9a8c-8d629f77f9a5
Basic Caparisons,ui_nm_caparison02_m01,Caparison02_m03,3,5,3,10,0.3,8.0,2000,4b59331b-2dbe-4831-ac2a-4453935e4342
Basic Caparisons,ui_nm_caparison02_m01,Caparison02_m04,3,5,3,10,0.3,8.0,2000,77d38e9d-a374-4a16-930f-b5ca6bd86f49
Basic Caparisons,ui_nm_caparison02_m01,Caparison02_m05,3,5,3,10,0.3,8.0,2000,0a5439f2-0145-4eb5-9301-f3d2f614dc53
