Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m01,0,5,1,17,0.3,2.0,1500,6ebbf914-5917-4ce0-850b-caf2c04f6562
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m02,0,5,1,17,0.3,2.0,1500,eff39384-5a02-4cc5-89d8-4717824480bc
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m03,0,5,1,17,0.3,2.0,1500,8033fb08-2fbb-40fd-88a0-db257ea7409a
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m04,0,5,1,17,0.3,2.0,1500,d9277418-34a7-42c5-8514-03e1f1d4850f
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m05,0,5,1,17,0.3,2.0,1500,aa4fe572-9442-4184-8dba-d8c91efd3700
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m06,0,5,1,17,0.3,2.0,1500,3a8dc292-52a2-4140-82af-eaa8737a52e9
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m07,0,5,1,17,0.3,2.0,1500,9fc5c8ee-4b81-4e99-8b84-b2fa60b833b5
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m08,0,5,1,17,0.3,2.0,1500,fb6859ba-cda9-417b-926c-97e2357d51df
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m09,0,5,1,17,0.3,2.0,1500,7093c5df-79d8-41f3-9e9d-f3227072b875
Bridles,ui_nm_basicbridle01_m01,BasicBridle01_m10,0,5,1,17,0.3,2.0,1500,d6da5adc-f3aa-4e20-b65e-903971bbe55a
Bridles,ui_nm_basicbridle01_m01,BasicBridle02_m01,1,6,1,21,0.5,2.2,2000,49d08322-10f6-4f56-b9ae-ceb8b62d5c52
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m02,1,6,1,21,0.5,2.2,2000,c2749a78-ed35-4df9-a7e9-0942bc8ccc9d
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m03,1,6,1,21,0.5,2.2,2000,4ed20d32-2ae9-4eae-8b66-4f017eeb59ab
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m04,1,6,1,21,0.5,2.2,2000,e6ea8edc-0c8a-4e93-9ba2-0b2c67cfd336
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m05,1,6,1,21,0.5,2.2,2000,89001105-166c-4276-b92c-da1b6bb83805
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m06,1,6,1,21,0.5,2.2,2000,596212ea-ce9b-4b8c-af09-278ae2d834bb
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m07,1,6,1,21,0.5,2.2,2000,21f1f549-1bbb-479c-8368-0ee986dc7636
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m08,1,6,1,21,0.5,2.2,2000,c5d6da49-48b0-461c-b7ae-eb16b0599b15
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m09,1,6,1,21,0.5,2.2,2000,9c4be44a-ddcf-4829-9cf4-71f0161c5108
Bridles,ui_nm_basicbridle02_m01,BasicBridle02_m10,1,6,1,21,0.5,2.2,2000,6f04d4c1-d6bf-440b-a199-f6a081843558
Bridles,ui_nm_basicbridle03_m01,BasicBridle03_m01,0,5,1,17,0.4,2.0,1500,3a865dd3-3380-456a-9818-7b96efe83876
Bridles,ui_nm_basicbridle03_m01,BasicBridle03_m02,0,5,1,17,0.4,2.0,1500,c68f7174-ae53-4d75-ac92-88c54eccc452
Bridles,ui_nm_basicbridle03_m01,BasicBridle03_m03,0,5,1,17,0.4,2.0,1500,3fed5dda-18f1-4e5e-b1f8-471a0f7d1241
