Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Chanfrons,ui_nm_cumanchanfron01_m01,CumanChanfron01_m01,50,25,20,45,0.8,7.0,8200,8193888e-7412-4304-b2f5-6448c0d1047e
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m01,60,45,15,45,1.0,9.0,12650,77f4d779-aeea-4937-a36c-74d17eb2cb15
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m02,60,45,15,45,1.0,9.0,12650,c195f864-5154-4df2-ac14-b552f9be8dc6
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m03,60,45,15,45,1.0,9.0,12650,15fbc2fb-af46-4765-9ffd-0ed63f596b3b
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m04,60,45,15,45,1.0,9.0,12650,e6e2e301-8df2-41ba-b55d-935118da72f4
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m05,60,45,15,45,1.0,9.0,12650,e6cc44a4-d5c3-4dfc-8198-d0a902f5d6bd
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m06,60,45,15,45,1.0,9.0,12650,df55ebd0-b61c-4a82-88c6-0c20a2335e0c
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m07,60,45,15,45,1.0,9.0,12650,f9cbfaff-21fb-48a8-b10d-d97585b10201
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m08,60,45,15,45,1.0,9.0,12650,fbeadf50-89c1-476c-bc32-96b3249a59ef
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m09,60,45,15,45,1.0,9.0,12650,3d70fc92-440d-4177-85e1-6c702d185059
Chanfrons,ui_nm_warchanfron01_m01,WarChanfron01_m10,60,45,15,45,1.0,9.0,12650,5b7fd800-e9a2-48a7-97d1-3afd561dea39
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m01,30,20,10,22,0.5,6.0,3500,2a119cb9-20a9-466a-982b-645b6fc733ac
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m02,30,20,10,22,0.5,6.0,3500,d8738c2c-9a40-4393-a2a8-01e3ae5f3b3a
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m03,30,20,10,22,0.5,6.0,3500,891e6272-8792-435c-ad17-0f0d04fc4ede
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m04,30,20,10,22,0.5,6.0,3500,fe4c4894-b916-4d35-b403-2280dac4975c
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m05,30,20,10,22,0.5,6.0,3500,93c91306-67dd-446a-8d3d-67de866d97df
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m06,30,20,10,22,0.5,6.0,3500,db7e8637-31de-4287-ad28-ee779ff4c25d
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m07,30,20,10,22,0.5,6.0,3500,b2350448-fdc8-4ac3-84dc-263a1a0fc64c
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m08,30,20,10,22,0.5,6.0,3500,fff81d9e-65b0-49a9-a41d-48d67bd3fbd0
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m09,30,20,10,22,0.5,6.0,3500,b0102119-cab9-4d52-b473-f99a938ad083
Chanfrons,ui_nm_warchanfron02_m01,WarChanfron02_m10,30,20,10,22,0.5,6.0,3500,b6f33840-7bfe-4ce8-aa6c-5151207682fd
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m01,48,35,13,36,0.8,7.8,8000,cc619b0e-2c49-4b2f-9029-163301396b79
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m02,48,35,13,36,0.8,7.8,8000,1144ac54-351f-44d2-a713-a525f5d1fd19
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m03,48,35,13,36,0.8,7.8,8000,637a1bcc-a03a-4733-98b0-df7be1ef6d18
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m04,48,35,13,36,0.8,7.8,8000,29f86d3a-4bf2-4c0f-b177-94fa7027b23c
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m05,48,35,13,36,0.8,7.8,8000,ddba3782-b343-4bf1-9142-225b49e2c976
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m06,48,35,13,36,0.8,7.8,8000,4f638b4b-adb2-4782-b3de-0bb93ddf8429
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m07,48,35,13,36,0.8,7.8,8000,69aa0f16-b6ef-4cd8-affc-a6c5e1a20331
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m08,48,35,13,36,0.8,7.8,8000,881032cf-cd77-4b76-b8de-d3cfac5a21fe
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m09,48,35,13,36,0.8,7.8,8000,fc9ea950-6d10-4353-9197-ea2a437fdca0
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_m10,48,35,13,36,0.8,7.8,8000,a7863748-175b-4ff5-bcc1-77a914fe1068
Chanfrons,ui_nm_warchanfron03_m01,WarChanfron03_mMessenger,48,35,13,36,0.8,7.8,8000,32432cd2-9f55-4107-984a-091755410155
