Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m01,7,17,11,14,0.4,9.0,2167,14b87250-c51b-43bc-b8af-abaa7e192102
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m02,7,17,11,14,0.4,9.0,2167,a0f0411b-78f9-4e13-aaee-2db04706021d
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m03,7,17,11,14,0.4,9.0,2167,1d979689-a035-44d8-adad-4e6068a74714
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m04,7,17,11,14,0.4,9.0,2167,5c93de8b-a82c-45ed-9d69-466d71d5056f
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m05,7,17,11,14,0.4,9.0,2167,6f3c3b10-687a-480c-93dc-771b063250c6
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m06,7,17,11,14,0.4,9.0,2167,215b3118-14aa-4576-ace0-e14c96785314
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m07,7,17,11,14,0.4,9.0,2167,88b82d1f-dd8d-4546-b3fa-73d3f2356552
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m08,7,17,11,14,0.4,9.0,2167,94fdc2b1-95a3-4519-a1c6-093c2a854009
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m09,7,17,11,14,0.4,9.0,2167,ecd94ac4-e8f0-48c4-95e4-729685ca8f28
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m10,7,17,11,14,0.4,9.0,2167,b5e1afb0-d067-486a-9d8e-0b4a278c43ee
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m11,7,17,11,14,0.4,9.0,2167,132977d7-bfe2-466d-ba43-f7328beb8f86
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m12,7,17,11,14,0.4,9.0,2167,b0f581d8-b787-4489-bb7b-b5fd049d1e43
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m13,7,17,11,14,0.4,9.0,2167,156d7c44-9882-4951-a1a5-bb6717a665e6
Harnesses,ui_nm_basicharness01_m01,BasicHarness01_m14,7,17,11,14,0.4,9.0,2167,5f2ae2c5-b557-4399-a01e-4d7de16bfa49
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m01,5,15,10,10,0.3,8.4,2000,353e4bb0-d365-4281-8a47-a5ab9d694c62
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m02,5,15,10,10,0.3,8.4,2000,1017710d-9585-4416-9a14-92c271ff0077
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m03,5,15,10,10,0.3,8.4,2000,1da7e68f-e06d-4417-bac8-901350da15b7
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m04,5,15,10,10,0.3,8.4,2000,d358142b-ba22-422a-ac40-9f6613776bc4
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m05,5,15,10,10,0.3,8.4,2000,3793a429-6d49-4542-a263-bd6f16425790
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m06,5,15,10,10,0.3,8.4,2000,4967ecb7-3dae-4390-a9a2-6a0f08a4b92e
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m07,5,15,10,10,0.3,8.4,2000,10378077-c05f-4fd3-ab2e-627a969e51b3
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m08,5,15,10,10,0.3,8.4,2000,88455b1c-c518-4ebf-a637-90852153dddd
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m09,5,15,10,10,0.3,8.4,2000,4ed167e1-9712-464c-9b34-032ab10b3b20
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m10,5,15,10,10,0.3,8.4,2000,aa12cf71-7816-40da-9b1b-a5cef0874dda
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m11,5,15,10,10,0.3,8.4,2000,928226ee-b328-4c29-b2aa-6a3aec846972
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m12,5,15,10,10,0.3,8.4,2000,88ad09e8-f339-4f9f-8b26-2572e58c5023
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m13,5,15,10,10,0.3,8.4,2000,3a7911af-8a5b-4038-890a-90cd4f66c1a4
Harnesses,ui_nm_basicharness02_m01,BasicHarness02_m14,5,15,10,10,0.3,8.4,2000,9a91b09f-bcc2-4bc5-9505-7822f59826af
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m01,10,20,15,21,0.6,10.2,2875,b2cff226-0f20-4bb4-be37-21b03d8b932f
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m02,10,20,15,21,0.6,10.2,2875,10aa607a-06eb-497f-86cf-3a5afc931657
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m03,10,20,15,21,0.6,10.2,2875,67878a6d-91b7-4ba2-9fec-939496d61b38
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m04,10,20,15,21,0.6,10.2,2875,911df0af-e8c8-4ff6-b487-a13f29cefe38
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m05,10,20,15,21,0.6,10.2,2875,9671fc3f-0734-4866-8586-ff174189a59f
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m06,10,20,15,21,0.6,10.2,2875,8dbd1400-754b-4e84-ba7d-5e0bb36401b2
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m07,10,20,15,21,0.6,10.2,2875,aaee1995-16c8-4c35-af8e-f9f17f7f66b1
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m08,10,20,15,21,0.6,10.2,2875,9253e9d4-41ba-4ded-bb04-5b6860f8ea57
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m09,10,20,15,21,0.6,10.2,2875,cab8d2b3-ffe8-4341-aab1-eb4c7d020f21
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m10,10,20,15,21,0.6,10.2,2875,ddf60ba6-e7e9-4823-85fb-220ba1086886
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m11,10,20,15,21,0.6,10.2,2875,0ff0a7d1-8f34-4e5f-a71a-5d83faf890ca
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m12,10,20,15,21,0.6,10.2,2875,cc358866-4314-4c97-80ae-d1849f6203ed
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m13,10,20,15,21,0.6,10.2,2875,8afad34e-877e-4e3b-aa51-787288c22e21
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m14,10,20,15,21,0.6,10.2,2875,303572e5-fdcf-4241-a710-f557fa51c6b2
Harnesses,ui_nm_basicharness03_m01,BasicHarness03_m15,10,20,15,21,0.6,10.2,2875,fcb39e3e-138a-4072-8234-92df6c366327
Harnesses,ui_nm_loot_rattayHarness,loot_rattayHarness,10,20,15,16,0.3,8.0,610,185f823e-5e4e-42ee-a8c3-9c995bebad88
