Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m01,10,12,5,50,1.0,14.4,5175,85a133ab-cc0a-4106-a414-375e6b7f2af2
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m02,10,12,5,50,1.0,14.4,5175,bc25c392-64c3-4e37-b1d4-4f96edfb6b0e
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m03,10,12,5,50,1.0,14.4,5175,a5cebc2e-f901-4dcc-82f9-638ee0daa7a5
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m04,10,12,5,50,1.0,14.4,5175,0d7bd42b-f495-4ff6-80a3-ef99475d583e
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m05,10,12,5,50,1.0,14.4,5175,c14ede14-3138-4d0a-8e32-b1d985fff226
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m06,10,12,5,50,1.0,14.4,5175,52379cdf-9749-423e-815d-c1e5591f3ed1
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m07,10,12,5,50,1.0,14.4,5175,465c20ef-f2fa-442e-9de0-6343ca7b5ff4
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m08,10,12,5,50,1.0,14.4,5175,2ef6ca4c-ea3d-45ce-923c-42d084ae6bf9
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m09,10,12,5,50,1.0,14.4,5175,bb8fd4b8-70dd-46d8-9d31-bb830b1e582f
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m10,10,12,5,50,1.0,14.4,5175,00acd76f-fdbe-4552-bffa-6640832af8e3
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m11,10,12,5,50,1.0,14.4,5175,25c4d2e8-2368-431d-86af-b8c10c5c79ae
Noble Caparisons,ui_nm_noblecaparison01_m01,NobleCaparison01_m12,10,12,5,50,1.0,14.4,5175,4ac37359-e55c-4dc9-a39a-c4b70ad5c29d
Noble Caparisons,ui_nm_noblecaparison01_mLeipa,NobleCaparison01_mLeipa,10,12,5,50,1.0,14.4,5175,34f3b6e7-f251-4199-b86f-c8782c8a7758
Noble Caparisons,ui_nm_noblecaparison01_mLeipa,NobleCaparison01_mLeipa02,10,12,5,50,1.0,14.4,5175,288d5d7e-e87d-457e-a174-04f31cf66d71
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m01,9,11,4,44,0.9,13.6,4816,4d8c778d-144a-4bd5-9163-70d7ecd24338
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m02,9,11,4,44,0.9,13.6,4816,6896df33-18f7-42c0-ba5e-108a5ea07f38
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m03,9,11,4,44,0.9,13.6,4816,a77065c6-7bae-41ba-8e34-9ad7242c2792
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m04,9,11,4,44,0.9,13.6,4816,538d406b-3706-4e12-8cc5-48078a1d52cc
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m05,9,11,4,44,0.9,13.6,4816,57ac2f43-bcb5-4b5c-a2b8-8a9be75bfb46
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m06,9,11,4,44,0.9,13.6,4816,5f4e4f67-794c-467c-9a30-a8436b5cad5a
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m07,9,11,4,44,0.9,13.6,4816,08cd152e-0a78-4119-930d-64762e3605b0
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m08,9,11,4,44,0.9,13.6,4816,a024c830-5e59-4677-9337-10cd088ec636
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m09,9,11,4,44,0.9,13.6,4816,51b5c2ca-be2b-4e8d-9022-17ab74a63523
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m10,9,11,4,44,0.9,13.6,4816,670b8480-23f6-4f37-818b-80d4c1143d53
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m11,9,11,4,44,0.9,13.6,4816,8631c168-3b26-4955-adc7-916753140f5b
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m12,9,11,4,44,0.9,13.6,4816,6df3efcb-27f6-41fe-8ca4-5105c9a1a6d3
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m13,9,11,4,44,0.9,13.6,4816,bb97b80c-1f12-497b-9bba-66923c2b19e7
Noble Caparisons,ui_nm_noblecaparison02_m01,NobleCaparison02_m14,9,11,4,44,0.9,13.6,4816,e9b2dae4-fcf1-4ac7-8a0c-4b65af20e6fd
Noble Caparisons,ui_nm_noblecaparison02_mLeipa,NobleCaparison02_mLeipa,9,11,4,44,0.9,13.6,4816,d18c67a0-e117-4530-86ea-514e67ce60fe
Noble Caparisons,ui_nm_noblecaparison02_mLeipa,NobleCaparison02_mLeipa02,9,11,4,44,0.9,13.6,4816,8c14ac92-cc83-45c1-82b1-6554183807a1
Noble Caparisons,ui_nm_noblecaparison03_m01,NobleCaparison03_m01,7,9,4,35,0.7,12.0,3563,072c4a0f-3efc-4c9d-9ea0-cf9b577477fd
Noble Caparisons,ui_nm_noblecaparison03_m01,NobleCaparison03_m02,7,9,4,35,0.7,12.0,3563,bda66810-1255-4c97-b179-3b1b03025591
Noble Caparisons,ui_nm_noblecaparison03_m01,NobleCaparison03_m03,7,9,4,35,0.7,12.0,3563,871018f4-bad4-4f44-b29c-6c36e2a6dbcf
Noble Caparisons,ui_nm_noblecaparison03_m01,NobleCaparison03_m04,7,9,4,35,0.7,12.0,3563,50bc4d3d-7e67-4a75-88b6-c94bdf9630bd
Noble Caparisons,ui_nm_noblecaparison03_m01,NobleCaparison03_m05,7,9,4,35,0.7,12.0,3563,d07daf9e-46df-4347-9529-6492d74cf45e
