Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m01,15,70,40,65,1.0,33.6,5750,886aaa70-06e0-4617-a55c-5a3e5fdec2d6
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m02,15,70,40,65,1.0,33.6,5750,859c486c-5eaa-4c84-8ef7-3b9b3338b6a2
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m03,15,70,40,65,1.0,33.6,5750,54741398-b9b6-4e1e-8280-793af804cbf1
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m04,15,70,40,65,1.0,33.6,5750,69e4929c-b5d6-46b0-a36e-92829fbc898c
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m05,15,70,40,65,1.0,33.6,5750,34b86ba5-95f4-449a-9f9c-df5f13ff938a
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m06,15,70,40,65,1.0,33.6,5750,66be7eb2-923e-4d8d-9652-49b0563141df
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m07,15,70,40,65,1.0,33.6,5750,6766fb76-17ac-4acd-ac87-4e47b949b997
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m08,15,70,40,65,1.0,33.6,5750,f836869b-013a-4040-a209-c936cb56bdcb
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m09,15,70,40,65,1.0,33.6,5750,fb66efee-3aa6-4d87-aa76-647e4a2b75d6
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_m10,15,70,40,65,1.0,33.6,5750,7a33f459-476b-4e3f-92b5-5c6de67ea002
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_mLeipa,15,70,40,65,1.0,33.6,5750,cb464bd2-9504-48b2-b8ac-de5452dd73b1
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_mLeipa01,15,70,40,65,1.0,33.6,5750,37ca1d69-60dd-476b-a488-43b266c51c9f
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_mRuthard,15,70,40,65,1.0,33.6,5750,20060d35-0347-4ee7-b1b5-06766d6f5285
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_mRuthard02,15,70,40,65,1.0,33.6,5750,b8b6e1ad-4f3c-4163-ae84-73a6462aea26
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_mSemin,15,70,40,65,1.0,33.6,5750,b2ceb731-81fb-43a1-a0d3-c21066d65a55
Padded Caparisons,ui_nm_paddedcaparison01_m01,PaddedCaparison01_mSemin02,15,70,40,65,1.0,33.6,5750,e88ff1c5-203a-4483-b492-6bf81c5633e6
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m01,5,30,20,39,0.6,24.0,2500,444cccd2-fc08-4800-8255-cbb19427aee0
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m02,5,30,20,39,0.6,24.0,2500,9caff0c8-3f23-4d5e-ae38-f20e8d0049c4
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m03,5,30,20,39,0.6,24.0,2500,a1e4191e-e8d7-40c9-ac8f-438ba7e8d6c8
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m04,5,30,20,39,0.6,24.0,2500,37686ce9-e122-4a41-b4d5-926cae9ef74f
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m05,5,30,20,39,0.6,24.0,2500,1436c206-4208-4215-8402-896e87791cb8
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m06,5,30,20,39,0.6,24.0,2500,4f4ddea5-1c57-463e-bd48-6148fb02f23b
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m07,5,30,20,39,0.6,24.0,2500,c06fb041-304a-4810-a29d-10a584141744
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m08,5,30,20,39,0.6,24.0,2500,0b38b046-f80e-4941-8c85-af9619cc3313
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m09,5,30,20,39,0.6,24.0,2500,531bdc22-0cf3-47a8-9565-d20f8d6d263e
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_m10,5,30,20,39,0.6,24.0,2500,9a9fc522-c626-443d-85d9-2336f6cd62db
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_mRuthard02,5,30,20,39,0.6,24.0,2500,ac74242c-a20c-4675-a27f-fa78e05b5fba
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_mRuthard03,5,30,20,39,0.6,24.0,2500,72a1c5f5-0732-4395-a7b6-11075a43f770
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_mSemin,5,30,20,39,0.6,24.0,2500,08a87c78-3761-4a04-a693-1226c56b0766
Padded Caparisons,ui_nm_paddedcaparison02_m01,PaddedCaparison02_mSemin02,5,30,20,39,0.6,24.0,2500,a5d6d4ea-7099-4590-b3f7-138a9660811c
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m01,10,50,30,52,0.8,28.8,3750,56e54c14-e049-4473-8a9d-27106dbf5bb9
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m02,10,50,30,52,0.8,28.8,3750,df108cd8-72ad-45fc-936e-3cf26e793d0b
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m03,10,50,30,52,0.8,28.8,3750,06b506d2-11ea-45a5-b70a-f36e91e002a5
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m04,10,50,30,52,0.8,28.8,3750,9c6da684-8448-43d7-b28c-0a7ffa89e180
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m05,10,50,30,52,0.8,28.8,3750,8ff7c154-4741-4a2b-bcd0-10c0e5043cc3
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m06,10,50,30,52,0.8,28.8,3750,248f40f1-4213-44b6-93b8-d0ee04dc4884
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m07,10,50,30,52,0.8,28.8,3750,5eb8fd68-bfc8-41e9-941b-a29ea5b7429a
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m08,10,50,30,52,0.8,28.8,3750,61d0e35a-2c53-4646-9852-f097d229bc56
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m09,10,50,30,52,0.8,28.8,3750,3a87205f-5988-4d46-9ed9-83e2e19b7731
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_m10,10,50,30,52,0.8,28.8,3750,ee4b742f-ad10-473c-940e-a743971c28d3
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_mBailiff,10,50,30,52,0.8,28.8,3750,a5264a2f-8f6f-4de4-b80f-5db4f35ff9a1
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_mLeipa,10,50,30,52,0.8,28.8,3750,73634299-2c72-48c6-a986-feb001cf8e08
Padded Caparisons,ui_nm_paddedcaparison03_m01,PaddedCaparison03_mLeipa01,10,50,30,52,0.8,28.8,3750,2b2a3572-38a6-4787-aa58-2ee4ee00cab0
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m01,10,50,30,52,0.8,28.8,3750,ace99cb0-6ec3-46f4-8226-2c5a3301342e
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m02,10,50,30,52,0.8,28.8,3750,e9484ee3-cf40-4acf-9ec8-3e297eea3f5f
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m03,10,50,30,52,0.8,28.8,3750,350373bb-ea1d-453a-b7c0-9f4a135a9c9b
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m04,10,50,30,52,0.8,28.8,3750,71d13987-b003-42c6-85ba-f565b7662b98
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m05,10,50,30,52,0.8,28.8,3750,338edf6b-d128-4ee4-afab-d7869fa22873
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m06,10,50,30,52,0.8,28.8,3750,78ba17e5-2761-4f59-b2f2-c6af88547f74
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m07,10,50,30,52,0.8,28.8,3750,3c28bcae-6724-4465-aa60-3b0364450f34
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m08,10,50,30,52,0.8,28.8,3750,978eff03-61a3-4b0d-bb19-33c10101754e
Padded Caparisons,ui_nm_paddedcaparison04_m01,PaddedCaparison04_m09,10,50,30,52,0.8,28.8,3750,75d84292-9fe6-4878-a646-8482194b8bed
