Category,LocalizedName,Name,DefenseStab,DefenseSlash,DefenseSmash,MaxStatus,RPGBuffWeight,Weight,Price,Id
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m01,20,15,40,4,0.2,12.0,2000,12427009-3f05-45f4-81f4-c8163b3a8543
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m02,20,15,40,4,0.2,12.0,2000,95fdc8c1-9c4a-4d69-b398-9708b1760478
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m03,20,15,40,4,0.2,12.0,2000,66c02e00-86a3-49ee-94d6-6b007e4fb7b3
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m04,20,15,40,4,0.2,12.0,2000,c1c03e61-2d2a-4ece-8426-426a52c58c14
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m05,20,15,40,4,0.2,12.0,2000,8509c519-4a13-4b63-be62-182b9c392c1e
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m06,20,15,40,4,0.2,12.0,2000,03319c8e-1096-4ef0-80ae-c52de29a9fbb
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m07,20,15,40,4,0.2,12.0,2000,e7c5ad73-951d-43e7-8722-8006a79393d2
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m08,20,15,40,4,0.2,12.0,2000,980969f0-fe14-4faf-9ab9-18b98762f518
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m09,20,15,40,4,0.2,12.0,2000,381c996c-7c8b-416b-a217-5fbb483b22ca
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m10,20,15,40,4,0.2,12.0,2000,d859030d-12f4-4af5-babb-043839d20b71
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m11,20,15,40,4,0.2,12.0,2000,7dc67d5d-30bc-4bd0-8f0d-210854390dfd
Saddles,ui_nm_basicsaddle01_m01,BasicSaddle01_m12,20,15,40,4,0.2,12.0,2000,1b23dccf-4b1f-4156-9441-f438dd662244
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m01,21,16,42,9,0.3,13.2,4000,80058304-bb23-45fa-83a4-e632d89c1938
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m02,21,16,42,9,0.3,13.2,4000,0c044d3b-508e-4da2-bb9b-e57f7e457827
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m03,21,16,42,9,0.3,13.2,4000,9b456bd7-f2a9-4603-a658-0d568a4c5094
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m04,21,16,42,9,0.3,13.2,4000,3cb68c2a-dccc-41be-8515-626ed0756b97
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m05,21,16,42,9,0.3,13.2,4000,ff65c42b-b3de-4347-b01f-36626bf4c1ee
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m06,21,16,42,9,0.3,13.2,4000,4cbec1f9-335e-4ad2-822f-12771f82ad68
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m07,21,16,42,9,0.3,13.2,4000,966760b0-75c6-4387-ae57-8c5238f09df9
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m08,21,16,42,9,0.3,13.2,4000,85983427-faf2-48e1-a700-2aa4da881e5d
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m09,21,16,42,9,0.3,13.2,4000,f66fc83f-074e-447a-ab41-361887c47a2a
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m10,21,16,42,9,0.3,13.2,4000,55a4a336-9617-4f9d-b4a3-c98d263da72e
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m11,21,16,42,9,0.3,13.2,4000,9c6158cf-5f30-4aef-bcef-d665505c3623
Saddles,ui_nm_basicsaddle02_m01,BasicSaddle02_m12,21,16,42,9,0.3,13.2,4000,52bae50a-2cc3-498a-8736-04ac6a31fd12
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m01,22,17,44,13,0.4,14.4,6000,8007b1d2-6179-49bb-a9eb-132bfc1b0ab6
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m02,22,17,44,13,0.4,14.4,6000,b6bd8d57-2d4c-442c-9a6e-522142af25ed
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m03,22,17,44,13,0.4,14.4,6000,2e343e8a-2c21-4794-8c7d-7ee11f720676
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m04,22,17,44,13,0.4,14.4,6000,e72d851c-0da3-43fa-9433-fa8f60ae4bea
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m05,22,17,44,13,0.4,14.4,6000,3350f93c-2b8b-4c83-ae3f-9e85cd67497f
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m06,24,19,48,22,0.4,16.8,10000,d51bb072-916b-4235-85d2-ddba645c1c93
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m07,22,17,44,13,0.4,14.4,6000,3ae53d22-43b5-47c8-9486-de739e4eabde
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m08,22,17,44,13,0.4,14.4,6000,155571e4-ff66-4f2b-848a-01f78ed44b4b
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m09,22,17,44,13,0.4,14.4,6000,e576ae73-6422-46ca-9898-5e6f35f5c654
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m10,22,17,44,13,0.4,14.4,6000,9e770c83-7d7c-4fa4-b7a2-35ea7ea1c1c5
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m11,22,17,44,13,0.4,14.4,6000,02de7fc4-7679-4fd1-925d-36683b2bd9a1
Saddles,ui_nm_basicsaddle03_m01,BasicSaddle03_m12,22,17,44,13,0.4,14.4,6000,0b51c334-71e2-4c20-bbe4-ba7d4037d25a
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m01,24,19,48,22,0.5,16.8,10000,2939fb92-50f8-4ad0-9afc-deba97a38a1a
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m02,24,19,48,22,0.5,16.8,10000,0f517dbf-ae9b-44eb-990c-e941e8151596
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m03,24,19,48,22,0.5,16.8,10000,f74034d0-58b3-4ebf-8dca-b7ba3abd1940
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m04,24,19,48,22,0.5,16.8,10000,da944680-fbc0-431f-ac4a-4a64c32e3856
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m05,24,19,48,22,0.5,16.8,10000,17032eaf-2ff4-4803-b671-79eaccaa4743
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m06,24,19,48,22,0.5,16.8,10000,f2ee862e-852b-4980-a4e6-bc0a69d144fb
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m07,24,19,48,22,0.5,16.8,10000,6ae2fa40-7ceb-4067-99ef-54a86a7c6b2d
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m08,24,19,48,22,0.5,16.8,10000,36b6f37d-41e3-4899-9335-f83dff408f25
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m09,24,19,48,22,0.5,16.8,10000,bbad295d-76a4-4897-a71c-52f950135473
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m10,24,19,48,22,0.5,16.8,10000,bb05ba08-8f51-43c3-a51e-15339aa50660
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m11,24,19,48,22,0.5,16.8,10000,fe9b01ba-71d8-4892-bc59-d72f5317139c
Saddles,ui_nm_eastsaddle01_m01,EastSaddle01_m12,24,19,48,22,0.5,16.8,10000,81b4ef33-4e2d-4e0f-98d4-967c7352ab8e
Saddles,ui_nm_eastsaddle02_m01,EastSaddle02_m01,23,18,46,18,0.4,15.6,8000,dc7c6cb2-9a46-4499-ac63-e9af6633a1ff
Saddles,ui_nm_eastsaddle02_m01,EastSaddle02_m02,23,18,46,18,0.4,15.6,8000,dd37d5f4-74e1-4ef5-a3a0-38682eef40ae
