======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__nebakovObrana.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 148
  String Data Size ...... 6053
  Unique String Count ... 185
  File Size ............. 25025
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] nebakovObrana_attackerGroupB_6
  [1] trosecko_enemies_nebakovObranaEnemyArmy
  [2] char_GENERIC_MAN_SOLDIER_21
  [3] nebakovObrana_beforeBattleRangedGroup_20
  [4] char_GENERIC_MAN_SOLDIER_37
  [5] nebakovObrana_attackerGroupB_21
  [6] char_GENERIC_MAN_SOLDIER_02
  [7] nebakovObrana_beforeBattleRangedGroup_crossbow_7
  [8] char_GENERIC_MAN_SOLDIER_26
  [9] nebakovObrana_attackerGroupB_18
  [10] char_GENERIC_MAN_SOLDIER_38
  [11] nebakovObrana_beforeBattleRangedGroup_crossbow_13
  [12] nebakovObrana_attackerGroupB_ladderGuy_7
  [13] char_GENERIC_MAN_SOLDIER_19
  [14] nebakovObrana_attackerGroupB_2
  [15] char_GENERIC_MAN_SOLDIER_24
  [16] nebakovObrana_attackerGroupC_3
  [17] char_GENERIC_MAN_SOLDIER_18
  [18] nebakovObrana_attackerGroupA_4
  [19] char_GENERIC_MAN_SOLDIER_22
  [20] nebakovObrana_attackerGroupB_1
  [21] nebakovObrana_attackerGroupC_6a
  [22] char_GENERIC_MAN_SOLDIER_11
  [23] nebakovObrana_attackerGroupB_30
  [24] char_GENERIC_MAN_SOLDIER_06
  [25] nebakovObrana_strelniceNPC
  [26] trosecko_settlements_tvrzNebakov_soldiers
  [27] char_PLECHAN
  [28] nebakovObrana_attackerGunCrew_2
  [29] char_GENERIC_MAN_SOLDIER_25
  [30] nebakovObrana_attackerGroupB_ladderGuy_4
  [31] char_GENERIC_MAN_SOLDIER_33
  [32] nebakovObrana_attackerGroupB_7
  [33] char_GENERIC_MAN_SOLDIER_15
  [34] nebakovObrana_attackerGroupC_2
  [35] char_GENERIC_MAN_SOLDIER_20
  [36] nebakovObrana_attackerGroupA_5
  [37] char_GENERIC_MAN_SOLDIER_01
  [38] nebakovObrana_attackerGroupD_1
  [39] nebakovObrana_attackerGroupC_8a
  [40] nebakovObrana_attackerGroupE_6
  [41] char_GENERIC_MAN_SOLDIER_16
  [42] nebakovObrana_beforeBattleRangedGroup_crossbow_10
  [43] nebakovObrana_attackerGroupB_ladderGuy_6
  [44] nebakovObrana_attackerGroupB_ladderGuy_8
  [45] nebakovObrana_attackerGunCrew_3
  [46] nebakovObrana_attackerGroupB_13
  [47] nebakovObrana_attackerGroupA_test_2
  [48] nebakovObrana_attackerGroupF_5
  [49] char_GENERIC_MAN_SOLDIER_05
  [50] nebakovObrana_attackerGroupB_12
  [51] nebakovObrana_attackerGroupA_9
  [52] nebakovObrana_attackerGroupC_11
  [53] char_GENERIC_MAN_SOLDIER_30
  [54] nebakovObrana_attackerGroupD_4
  [55] nebakovObrana_attackerGroupC_8
  [56] char_GENERIC_MAN_SOLDIER_23
  [57] nebakovObrana_beforeBattleRangedGroup_rifle_12
  [58] nebakovObrana_attackerGroupF_8
  [59] nebakovObrana_freeRanger_crossbow_7
  [60] char_GENERIC_MAN_SOLDIER_17
  [61] nebakovObrana_deadBody_3
  [62] deadBodies
  [63] nebakovObrana_attackerGroupC_7a
  [64] char_GENERIC_MAN_SOLDIER_14
  [65] nebakovObrana_attackerGroupA_7
  [66] char_GENERIC_MAN_SOLDIER_08
  [67] nebakovObrana_attackerGroupD_5
  [68] char_GENERIC_MAN_SOLDIER_32
  [69] nebakovObrana_attackerGroupE_10
  [70] nebakovObrana_attackerGroupE_4
  [71] nebakovObrana_attackerGunCrew_1
  [72] nebakovObrana_attackerGroupA_6
  [73] char_GENERIC_MAN_SOLDIER_03
  [74] nebakovObrana_attackerGroupA_8
  [75] char_GENERIC_MAN_SOLDIER_29
  [76] nebakovObrana_beforeBattleRangedGroup_19
  [77] nebakovObrana_freeRanger_rifle_8
  [78] nebakovObrana_attackerGroupE_7
  [79] char_GENERIC_MAN_SOLDIER_31
  [80] nebakovObrana_attackerGroupA_ladderGuy_2
  [81] nebakovObrana_deadBody_2
  [82] nebakovObrana_attackerGroupB_23
  [83] nebakovObrana_attackerGroupC_7
  [84] nebakovObrana_beforeBattleRangedGroup_crossbow_9
