======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__oblehaniSuchdole.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 249
  String Data Size ...... 10690
  Unique String Count ... 298
  File Size ............. 42590
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] oblehaniSuchdole_neprateleA_pesak23
  [1] kutnohorsko_enemies_oblehaniSuchdoleEnemyArmy
  [2] char_GENERIC_MAN_SOLDIER_38
  [3] oblehaniSuchdole_neprateleA_pesak5
  [4] char_GENERIC_MAN_SOLDIER_32
  [5] oblehaniSuchdole_spojenciA_strelec8
  [6] kutnohorsko_settlements_suchdol_soldiers_oblehaniSuchdoleFriendly
  [7] char_GENERIC_MAN_SOLDIER_18
  [8] oblehaniSuchdole_neprateleC_pesak27
  [9] char_GENERIC_MAN_SOLDIER_23
  [10] oblehaniSuchdole_spojenciC_pavezy1
  [11] oblehaniSuchdole_nepretaleF_nocniUtok_5
  [12] char_GENERIC_MAN_SOLDIER_14
  [13] oblehaniSuchdole_neprateleA_pesak6
  [14] char_GENERIC_MAN_SOLDIER_10
  [15] oblehaniSuchdole_neprateleB_pesak32
  [16] char_GENERIC_MAN_SOLDIER_17
  [17] oblehaniSuchdole_nepretaleE_nocniUtok_14
  [18] char_GENERIC_MAN_SOLDIER_25
  [19] oblehaniSuchdole_spojenciA_strelec11
  [20] oblehaniSuchdole_archeryJudge
  [21] Guards
  [22] char_GENERIC_MAN_GUARD_15
  [23] oblehaniSuchdole_recruitmentGuard_11
  [24] kutnohorsko_settlements_suchdol_soldiers_guards
  [25] char_GENERIC_MAN_GUARD_18
  [26] oblehaniSuchdole_neprateleC_pesak14
  [27] oblehaniSuchdole_nepretaleF_nocniUtok_4
  [28] char_GENERIC_MAN_SOLDIER_24
  [29] oblehaniSuchdole_nepretaleE_nocniUtok_12
  [30] char_GENERIC_MAN_SOLDIER_03
  [31] oblehaniSuchdole_recruitmentGuard_6
  [32] char_GENERIC_MAN_GUARD_13
  [33] oblehaniSuchdole_neprateleC_pesak9
  [34] char_GENERIC_MAN_SOLDIER_19
  [35] oblehaniSuchdole_neprateleC_pesak24
  [36] char_GENERIC_MAN_SOLDIER_20
  [37] oblehaniSuchdole_neprateleA_pesak7
  [38] char_GENERIC_MAN_SOLDIER_16
  [39] oblehaniSuchdole_spojenciA_strelec1
  [40] oblehaniSuchdole_extras_villageGroup_16
  [41] char_GENERIC_MAN_SOLDIER_27
  [42] oblehaniSuchdole_extras_villageGroup_25
  [43] char_GENERIC_MAN_SOLDIER_01
  [44] oblehaniSuchdole_recruitmentGuard_7
  [45] char_GENERIC_MAN_GUARD_02
  [46] oblehaniSuchdole_extras_messenger_1
  [47] char_GENERIC_MAN_SOLDIER_22
  [48] oblehaniSuchdole_neprateleG_zebrikar1
  [49] char_GENERIC_MAN_SOLDIER_06
  [50] oblehaniSuchdole_neprateleC_pesak10
  [51] char_GENERIC_MAN_SOLDIER_08
  [52] oblehaniSuchdole_recruitmentGuard_8
  [53] char_GENERIC_MAN_GUARD_08
  [54] oblehaniSuchdole_neprateleB_pesak15
  [55] oblehaniSuchdole_neprateleC_pesak19
  [56] char_GENERIC_MAN_SOLDIER_21
  [57] oblehaniSuchdole_spojenciA_strelec12
  [58] oblehaniSuchdole_spojenciC_halapartnik2
  [59] oblehaniSuchdole_neprateleD_utocnikNaBranu5
  [60] oblehaniSuchdole_neprateleB_pesak33
  [61] oblehaniSuchdole_spojenciB_obrance2
  [62] char_GENERIC_MAN_SOLDIER_05
  [63] oblehaniSuchdole_neprateleA_pesak19
  [64] char_GENERIC_MAN_SOLDIER_13
  [65] oblehaniSuchdole_spojenciC_pavezy3
  [66] oblehaniSuchdole_neprateleA_pesak18
  [67] oblehaniSuchdole_recruitmentGuard_12
  [68] char_GENERIC_MAN_GUARD_03
  [69] oblehaniSuchdole_woundedSoldier_1
  [70] oblehaniSuchdole_extras_commandPoint_5
  [71] oblehaniSuchdole_neprateleB_pesak21
  [72] char_GENERIC_MAN_SOLDIER_29
  [73] oblehaniSuchdole_neprateleA_pesak24
  [74] char_GENERIC_MAN_SOLDIER_11
  [75] oblehaniSuchdole_recruitmentGuard_9
  [76] oblehaniSuchdole_extras_villageGroup_18
  [77] oblehaniSuchdole_nepretaleE_nocniUtok_8
