======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__rutinaAVypad.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 217
  String Data Size ...... 9580
  Unique String Count ... 288
  File Size ............. 37384
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] rutinaAVypad_enemy_extras_confusedSoldier_2
  [1] kutnohorsko_enemies_rutinaAVypadExtras
  [2] char_GENERIC_MAN_SOLDIER_18
  [3] rutinaAVypad_friend_extras_assaultGroup_horse_1
  [4] kutnohorsko_allies_rutinaAVypadExtras
  [5] rutinaAVypad_friend_extras_assaultGroup_horse_3
  [6] rutinaAVypad_friend_guard_5
  [7] kutnohorsko_settlements_suchdol_soldiers_guards
  [8] Guards
  [9] char_GENERIC_MAN_GUARD_02
  [10] rutinaAVypad_enemy_extras_confusedSoldier_4
  [11] char_GENERIC_MAN_SOLDIER_38
  [12] rutinaAVypad_friend_archer_7
  [13] kutnohorsko_allies_rutinaAVypadArmy
  [14] char_GENERIC_MAN_COMMONER_02
  [15] rutinaAVypad_enemy_extras_wounded_4
  [16] char_GENERIC_MAN_SOLDIER_28
  [17] rutinaAVypad_enemy_extras_guard_5
  [18] char_GENERIC_MAN_SOLDIER_23
  [19] rutinaAVypad_friend_guard_3
  [20] char_GENERIC_MAN_GUARD_14
  [21] rutinaAVypad_enemy_extras_patrolGroup_3
  [22] char_GENERIC_MAN_SOLDIER_30
  [23] rutinaAVypad_enemy_extras_archers_10
  [24] char_GENERIC_MAN_SOLDIER_29
  [25] rutinaAVypad_friend_extras_assaultGroup_4
  [26] char_GENERIC_MAN_COMMONER_09
  [27] rutinaAVypad_enemy_extras_halberdPatrol_7
  [28] char_GENERIC_MAN_COMMONER_14
  [29] rutinaAVypad_friend_guard_11
  [30] char_GENERIC_MAN_GUARD_16
  [31] rutinaAVypad_enemy_extras_healer_2
  [32] char_GENERIC_MAN_SOLDIER_13
  [33] rutinaAVypad_enemy_extras_14
  [34] char_GENERIC_MAN_SOLDIER_24
  [35] rutinaAVypad_enemy_extras_patrolGroup_2
  [36] char_GENERIC_MAN_SOLDIER_15
  [37] rutinaAVypad_enemy_extras_guard_8
  [38] char_GENERIC_MAN_SOLDIER_08
  [39] rutinaAVypad_enemy_extras_12
  [40] char_GENERIC_MAN_SOLDIER_03
  [41] rutinaAVypad_enemy_extras_soldier_8
  [42] char_GENERIC_MAN_SOLDIER_14
  [43] rutinaAVypad_friend_ptacekMan_4
  [44] char_GENERIC_MAN_COMMONER_23
  [45] rutinaAVypad_enemy_extras_soldier_1
  [46] char_GENERIC_MAN_SOLDIER_37
  [47] rutinaAVypad_enemy_shieldBearer_2
  [48] kutnohorsko_enemies_rutinaAVypadArmy
  [49] rutinaAVypad_enemy_extras_halberdPatrol_15
  [50] rutinaAVypad_enemy_attacker_6
  [51] kutnohorsko_enemies_oblehaniSuchdoleEnemyArmy
  [52] char_GENERIC_MAN_SOLDIER_27
  [53] rutinaAVypad_enemy_extrasdeadBody_6
  [54] deadBodies
  [55] rutinaAVypad_friend_guard_12
  [56] char_GENERIC_MAN_GUARD_03
  [57] rutinaAVypad_enemy_extrasdeadBody_4
  [58] rutinaAVypad_enemy_shieldBearer_8
  [59] char_GENERIC_MAN_SOLDIER_07
  [60] rutinaAVypad_enemy_extras_guardArcher_3
  [61] rutinaAVypad_friend_extras_9
  [62] char_GENERIC_MAN_COMMONER_25
  [63] rutinaAVypad_friend_ptacekMan_2
  [64] char_GENERIC_MAN_COMMONER_11
  [65] rutinaAVypad_friend_archer_11
  [66] rutinaAVypad_enemy_extras_guard_11
  [67] rutinaAVypad_enemy_extras_soldier_30
  [68] rutinaAVypad_enemy_extras_guard_6
  [69] char_GENERIC_MAN_SOLDIER_12
  [70] rutinaAVypad_enemy_attacker_5
  [71] rutinaAVypad_enemy_extras_patrolGroup_1
  [72] char_GENERIC_MAN_COMMONER_04
  [73] rutinaAVypad_enemy_extras_halberdPatrol_5
  [74] char_GENERIC_MAN_COMMONER_16
  [75] rutinaAVypad_enemy_extras_sackCarrying_1
  [76] char_GENERIC_MAN_SOLDIER_10
  [77] rutinaAVypad_enemy_shieldBearer_5
  [78] char_GENERIC_MAN_SOLDIER_06
  [79] rutinaAVypad_enemy_gunner_4
  [80] rutinaAVypad_enemy_extras_confusedSoldier_1
