======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__vezniNaTroskach.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 121
  String Data Size ...... 4942
  Unique String Count ... 159
  File Size ............. 20458
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] vezniNaTroskach_tapo_soldier_32
  [1] trosecko_settlements_trosky_soldiers_vezniNaTroskachSoldiers
  [2] char_GENERIC_MAN_SOLDIER_38
  [3] vezniNaTroskach_tapo_soldier_3
  [4] char_GENERIC_MAN_SOLDIER_31
  [5] vezniNaTroskach_tapo_soldier_7
  [6] char_GENERIC_MAN_SOLDIER_10
  [7] vezniNaTroskach_tapo_soldier_43
  [8] char_GENERIC_MAN_SOLDIER_01
  [9] vezniNaTroskach_tapo_soldier_54
  [10] char_GENERIC_MAN_SOLDIER_33
  [11] vezniNaTroskach_tapo_soldier_47
  [12] char_GENERIC_MAN_SOLDIER_16
  [13] vezniNaTroskach_apolenaHorse3
  [14] vezniNaTroskach_tapo_soldier_87
  [15] char_GENERIC_MAN_SOLDIER_25
  [16] vezniNaTroskach_tapo_soldier_38
  [17] char_GENERIC_MAN_SOLDIER_21
  [18] vezniNaTroskach_tapo_soldier_17
  [19] char_GENERIC_MAN_SOLDIER_02
  [20] vezniNaTroskach_apolenaHorse14
  [21] vezniNaTroskach_tapo_soldier_45
  [22] vezniNaTroskach_tapo_soldier_88
  [23] char_GENERIC_MAN_SOLDIER_12
  [24] vezniNaTroskach_tapo_soldier_1
  [25] char_GENERIC_MAN_SOLDIER_37
  [26] vezniNaTroskach_tapo_soldier_51
  [27] char_GENERIC_MAN_SOLDIER_24
  [28] vezniNaTroskach_apolenaHorse5
  [29] vezniNaTroskach_tapo_soldier_4
  [30] vezniNaTroskach_ttro_pannaSoldier_5
  [31] vezniNaTroskach_apolenaHorse9
  [32] vezniNaTroskach_tapo_soldier_41
  [33] char_GENERIC_MAN_SOLDIER_23
  [34] vezniNaTroskach_tapo_soldier_23
  [35] vezniNaTroskach_apolenaHorse11
  [36] vezniNaTroskach_tapo_soldier_61
  [37] vezniNaTroskach_tapo_soldier_78
  [38] vezniNaTroskach_tapo_soldier_34
  [39] vezniNaTroskach_tapo_soldier_46
  [40] char_GENERIC_MAN_SOLDIER_13
  [41] vezniNaTroskach_tapo_soldier_84
  [42] vezniNaTroskach_tapo_soldier_68
  [43] vezniNaTroskach_tapo_soldier_85
  [44] vezniNaTroskach_tapo_soldier_65
  [45] char_GENERIC_MAN_SOLDIER_06
  [46] vezniNaTroskach_tapo_soldier_67
  [47] char_GENERIC_MAN_SOLDIER_28
  [48] vezniNaTroskach_ttro_pannaSoldier_1
  [49] char_GENERIC_MAN_SOLDIER_15
  [50] vezniNaTroskach_tapo_soldier_37
  [51] char_GENERIC_MAN_SOLDIER_08
  [52] vezniNaTroskach_tapo_soldier_8
  [53] char_GENERIC_MAN_SOLDIER_20
  [54] vezniNaTroskach_tapo_soldier_66
  [55] vezniNaTroskach_tapo_soldier_25
  [56] char_GENERIC_MAN_SOLDIER_18
  [57] vezniNaTroskach_jailExecutioner
  [58] char_KAT_TROSKY
  [59] vezniNaTroskach_apolenaHorse13
  [60] vezniNaTroskach_tapo_soldier_81
  [61] vezniNaTroskach_tapo_soldier_2
  [62] vezniNaTroskach_tapo_soldier_35
  [63] vezniNaTroskach_tapo_soldier_79
  [64] vezniNaTroskach_tapo_soldier_15
  [65] char_GENERIC_MAN_SOLDIER_29
  [66] vezniNaTroskach_catherinesInformator
  [67] trosecko_outskirts_vezniNaTroskachApolenaHorses
  [68] char_MLADEJ_MIKA
  [69] vezniNaTroskach_tapo_soldier_40
  [70] char_GENERIC_MAN_SOLDIER_30
  [71] vezniNaTroskach_tapo_soldier_18
  [72] char_GENERIC_MAN_SOLDIER_27
  [73] vezniNaTroskach_ttro_pannaSoldier_3
  [74] char_GENERIC_MAN_SOLDIER_03
  [75] vezniNaTroskach_tapo_soldier_11
  [76] char_GENERIC_MAN_SOLDIER_26
  [77] vezniNaTroskach_ttro_babaSoldier_3
  [78] vezniNaTroskach_tapo_soldier_58
  [79] char_GENERIC_MAN_SOLDIER_11
  [80] vezniNaTroskach_ttro_pannaSoldier_4
  [81] char_GENERIC_MAN_SOLDIER_19
