======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__zoufalaObranaZaBohutu.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 260
  String Data Size ...... 14847
  Unique String Count ... 298
  File Size ............. 48155
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_30
  [1] kutnohorsko_enemies_zoufalaObranaZaBohutuEnemyArmy
  [2] char_GENERIC_MAN_SOLDIER_33
  [3] zoufalaObranaZaBohutu_defenders_deadBody_1
  [4] kutnohorsko_settlements_suchdol_soldiers_zoufalaObranaZaBohutuFriendly
  [5] zoufalaObranaZaBohutu_defenders_questPartShooter_2
  [6] char_GENERIC_MAN_SOLDIER_30
  [7] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_1
  [8] char_GENERIC_MAN_SOLDIER_12
  [9] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_6
  [10] char_GENERIC_MAN_SOLDIER_25
  [11] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_10
  [12] char_GENERIC_MAN_SOLDIER_32
  [13] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_88
  [14] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_27
  [15] char_GENERIC_MAN_SOLDIER_17
  [16] zoufalaObranaZaBohutu_attackers_deadBody_1
  [17] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_10
  [18] char_GENERIC_MAN_SOLDIER_07
  [19] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_3
  [20] char_GENERIC_MAN_SOLDIER_11
  [21] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_79
  [22] char_GENERIC_MAN_SOLDIER_10
  [23] zoufalaObranaZaBohutu_defenders_gatePaviseMan_1
  [24] char_GENERIC_MAN_SOLDIER_22
  [25] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_83
  [26] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_61
  [27] char_GENERIC_MAN_SOLDIER_26
  [28] zoufalaObranaZaBohutu_attackers_soldierInCover_3
  [29] char_GENERIC_MAN_SOLDIER_37
  [30] zoufalaObranaZaBohutu_attackers_frontWallAssaultShooter_1
  [31] char_GENERIC_MAN_SOLDIER_18
  [32] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_6
  [33] char_GENERIC_MAN_SOLDIER_03
  [34] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_55
  [35] char_GENERIC_MAN_SOLDIER_29
  [36] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_24
  [37] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_29
  [38] char_GENERIC_MAN_SOLDIER_15
  [39] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_32
  [40] char_GENERIC_MAN_SOLDIER_06
  [41] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_72
  [42] char_GENERIC_MAN_SOLDIER_21
  [43] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_58
  [44] char_GENERIC_MAN_SOLDIER_02
  [45] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_15
  [46] char_GENERIC_MAN_SOLDIER_23
  [47] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_4
  [48] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_43
  [49] char_GENERIC_MAN_SOLDIER_28
  [50] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_7
  [51] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_6
  [52] char_GENERIC_MAN_SOLDIER_13
  [53] zoufalaObranaZaBohutu_attackers_frontWallMovingSoldier_1
  [54] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_77
  [55] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_2
  [56] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_2
  [57] char_GENERIC_MAN_SOLDIER_31
  [58] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_41
  [59] char_GENERIC_MAN_SOLDIER_19
  [60] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_1
  [61] char_GENERIC_MAN_SOLDIER_01
  [62] zoufalaObranaZaBohutu_attackers_backWallShooter_4
  [63] char_GENERIC_MAN_SOLDIER_08
  [64] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_59
